,normed_depth_max_intensity,normed_depth_mean_intensity,normed_depth_min_intensity,TPI_max_intensity,TPI_mean_intensity,TPI_min_intensity,SD of Dem_max_intensity,SD of Dem_mean_intensity,SD of Dem_min_intensity,Hillshade 45 Az._max_intensity,Hillshade 45 Az._mean_intensity,Hillshade 45 Az._min_intensity,Hillshade 90 Az._max_intensity,Hillshade 90 Az._mean_intensity,Hillshade 90 Az._min_intensity,label
0,0.7324985265731812,0.47396138310432434,0.2752293646335602,0.525435745716095,0.37679073214530945,0.17608480155467987,0.8934260606765747,0.5830933451652527,0.505635678768158,0.6855319142341614,0.4282323718070984,0.07776582986116409,0.6748538017272949,0.4258574843406677,0.11355462670326233,drift
1,1.0,0.5085136294364929,0.24353252351284027,0.9924845695495605,0.5085170269012451,0.0,0.9878352284431458,0.5195770263671875,0.21920400857925415,1.0,0.6860755681991577,0.1426641345024109,1.0,0.7458643317222595,0.2985121011734009,drift
2,0.5247541069984436,0.39301997423171997,0.30709150433540344,0.5210564136505127,0.4399207830429077,0.362700879573822,0.6280582547187805,0.588482141494751,0.5305019021034241,0.6701740622520447,0.5457515716552734,0.34817707538604736,0.7253721356391907,0.6191902756690979,0.4806196093559265,drift
3,0.4154888689517975,0.3898719251155853,0.3579634726047516,0.5465845465660095,0.509400486946106,0.46605774760246277,0.5677162408828735,0.5447319149971008,0.5152289271354675,0.6414083242416382,0.5762394666671753,0.4678146243095398,0.6926813721656799,0.6371100544929504,0.5679129362106323,drift
4,0.42371270060539246,0.38337767124176025,0.34019339084625244,0.6061320900917053,0.5080010294914246,0.3911089301109314,0.5227473378181458,0.4931955337524414,0.45875099301338196,0.7786419987678528,0.6459237933158875,0.5420689582824707,0.7778155207633972,0.7027101516723633,0.6027933359146118,drift
5,0.42656418681144714,0.39233219623565674,0.3686254918575287,0.44227975606918335,0.4105704128742218,0.36995992064476013,0.5752818584442139,0.5556008219718933,0.5404344797134399,0.61174476146698,0.5138708353042603,0.39815837144851685,0.6644168496131897,0.5931134819984436,0.5194762945175171,drift
6,0.42644020915031433,0.3882664740085602,0.348045289516449,0.46142634749412537,0.435442179441452,0.3954195976257324,0.5417121648788452,0.5271415114402771,0.5046082139015198,0.6710808277130127,0.5864217281341553,0.5352687835693359,0.7266170382499695,0.6584408283233643,0.6129348874092102,drift
7,0.4933052361011505,0.3959352970123291,0.2861393392086029,0.7094138860702515,0.536325216293335,0.32957324385643005,0.636966347694397,0.5630553960800171,0.41224896907806396,0.7499409317970276,0.54075688123703,0.30858445167541504,0.7642212510108948,0.6291270852088928,0.4711342751979828,drift
8,0.4249524772167206,0.39218440651893616,0.35089677572250366,0.6541247367858887,0.5903128385543823,0.4908587634563446,0.5952840447425842,0.5769307613372803,0.5488889813423157,0.6573290824890137,0.5551867485046387,0.46904703974723816,0.7128384113311768,0.6319718956947327,0.5623018145561218,drift
9,0.42106786370277405,0.3861979842185974,0.3549880087375641,0.5483036041259766,0.5059664845466614,0.4630414843559265,0.5350197553634644,0.5239642858505249,0.5121927261352539,0.6071101427078247,0.49565184116363525,0.4141960144042969,0.6215399503707886,0.5762014389038086,0.5182080864906311,drift
