,nrmse,ssim,cwssim,gms,Zone,Study Area,Winters
1,0.812,0.9027617623825815,0.9185,0.8759999999999999,hv_watertrack,Happy Valley,2013 v. 2017
2,0.7290000000000001,0.8567806718622468,0.922,0.858,hv_watertrack,Happy Valley,2013 v. 2018
3,0.6609999999999999,0.8466664397591777,0.85,0.8540000000000001,hv_watertrack,Happy Valley,2013 v. 2016
4,0.787,0.9074527157084408,0.905,0.888,hv_watertrack,Happy Valley,2012 v. 2013
5,0.619,0.8169408146158328,0.8859999999999999,0.843,hv_watertrack,Happy Valley,2015 v. 2017
6,0.5539999999999999,0.8034319830418089,0.8845000000000001,0.875,hv_watertrack,Happy Valley,2015 v. 2018
7,0.728,0.8268313820125084,0.908,0.83,hv_watertrack,Happy Valley,2015 v. 2016
8,0.632,0.8389771187284591,0.9305,0.85,hv_watertrack,Happy Valley,2012 v. 2015
9,0.7759999999999999,0.8636010539382859,0.9275,0.858,hv_watertrack,Happy Valley,2017 v. 2018
10,0.6409999999999999,0.8491277400100017,0.8400000000000001,0.857,hv_watertrack,Happy Valley,2016 v. 2017
11,0.79,0.9133989011421312,0.8985000000000001,0.892,hv_watertrack,Happy Valley,2012 v. 2017
12,0.522,0.7772684813741685,0.8160000000000001,0.836,hv_watertrack,Happy Valley,2016 v. 2018
13,0.7050000000000001,0.8577461329011116,0.897,0.863,hv_watertrack,Happy Valley,2012 v. 2018
14,0.7110000000000001,0.8755173173235309,0.8895,0.87,hv_watertrack,Happy Valley,2012 v. 2016
0,0.14900000000000002,0.7136943717097743,0.804,0.836,clpx_lake_e,CLPX,2015 v. 2016
1,0.17800000000000005,0.7451573206826393,0.7885,0.845,clpx_lake_e,CLPX,2016 v. 2018
2,0.30700000000000005,0.7107263731052531,0.8035,0.8420000000000001,clpx_lake_e,CLPX,2016 v. 2017
3,0.251,0.6938965451706304,0.7949999999999999,0.841,clpx_lake_e,CLPX,2012 v. 2016
4,0.368,0.6607174715111572,0.8185,0.848,clpx_lake_e,CLPX,2013 v. 2016
5,0.654,0.6993745088129693,0.8305,0.843,clpx_lake_e,CLPX,2015 v. 2018
6,0.544,0.7233750348601485,0.8145,0.833,clpx_lake_e,CLPX,2015 v. 2017
7,0.636,0.6568920326435649,0.8445,0.835,clpx_lake_e,CLPX,2012 v. 2015
8,0.506,0.7060416749990296,0.8049999999999999,0.835,clpx_lake_e,CLPX,2013 v. 2015
9,0.62,0.7018006309402927,0.8614999999999999,0.857,clpx_lake_e,CLPX,2017 v. 2018
10,0.55,0.7053033802750547,0.7995,0.846,clpx_lake_e,CLPX,2012 v. 2018
11,0.438,0.6125941948380781,0.778,0.852,clpx_lake_e,CLPX,2013 v. 2018
12,0.39299999999999996,0.6453830731742981,0.7915,0.845,clpx_lake_e,CLPX,2012 v. 2017
13,0.597,0.7864813818463672,0.7929999999999999,0.86,clpx_lake_e,CLPX,2013 v. 2017
14,0.31699999999999995,0.5939062637008851,0.7985,0.846,clpx_lake_e,CLPX,2012 v. 2013
0,0.438,0.8731949828523662,0.858,0.884,hv_polygon_cracks,Happy Valley,2015 v. 2018
1,0.794,0.9280404110060876,0.8365,0.893,hv_polygon_cracks,Happy Valley,2012 v. 2018
2,0.802,0.8969367938685835,0.8540000000000001,0.872,hv_polygon_cracks,Happy Valley,2013 v. 2018
3,0.8220000000000001,0.9189615996196364,0.8895,0.884,hv_polygon_cracks,Happy Valley,2017 v. 2018
4,0.722,0.8977294389577188,0.7585,0.8759999999999999,hv_polygon_cracks,Happy Valley,2016 v. 2018
5,0.6619999999999999,0.9029801579915782,0.866,0.893,hv_polygon_cracks,Happy Valley,2012 v. 2015
6,0.65,0.8647015745008497,0.848,0.87,hv_polygon_cracks,Happy Valley,2013 v. 2015
7,0.685,0.8927730855930789,0.8795,0.884,hv_polygon_cracks,Happy Valley,2015 v. 2017
8,0.721,0.8998996865072114,0.8225,0.878,hv_polygon_cracks,Happy Valley,2015 v. 2016
9,0.8320000000000001,0.9198574824700552,0.841,0.8809999999999999,hv_polygon_cracks,Happy Valley,2012 v. 2013
10,0.846,0.944612126609884,0.8614999999999999,0.9079999999999999,hv_polygon_cracks,Happy Valley,2012 v. 2017
11,0.8320000000000001,0.943404252662102,0.8315,0.9059999999999999,hv_polygon_cracks,Happy Valley,2012 v. 2016
12,0.833,0.9067462809688178,0.877,0.8740000000000001,hv_polygon_cracks,Happy Valley,2013 v. 2017
13,0.784,0.8974374475674536,0.7759999999999999,0.8690000000000001,hv_polygon_cracks,Happy Valley,2013 v. 2016
14,0.8140000000000001,0.9226705316831548,0.7835,0.889,hv_polygon_cracks,Happy Valley,2016 v. 2017
0,0.708,0.8586226878294507,0.8285,0.865,hv_stream,Happy Valley,2015 v. 2017
1,0.665,0.8553964238106961,0.8340000000000001,0.868,hv_stream,Happy Valley,2012 v. 2015
2,0.726,0.8654654564825787,0.8345,0.858,hv_stream,Happy Valley,2015 v. 2016
3,0.7050000000000001,0.8396728840731081,0.8079999999999999,0.8540000000000001,hv_stream,Happy Valley,2013 v. 2015
4,0.643,0.8287665340788013,0.8240000000000001,0.865,hv_stream,Happy Valley,2015 v. 2018
5,0.8029999999999999,0.9062121070427896,0.8265,0.884,hv_stream,Happy Valley,2012 v. 2017
6,0.708,0.879664172180693,0.8035,0.8690000000000001,hv_stream,Happy Valley,2016 v. 2017
7,0.8390000000000001,0.8844836810648968,0.8305,0.86,hv_stream,Happy Valley,2013 v. 2017
8,0.846,0.8800020862754532,0.8435,0.8640000000000001,hv_stream,Happy Valley,2017 v. 2018
9,0.718,0.8873441107093951,0.8069999999999999,0.8740000000000001,hv_stream,Happy Valley,2012 v. 2016
10,0.787,0.8832035978509124,0.8079999999999999,0.863,hv_stream,Happy Valley,2012 v. 2013
11,0.769,0.8723557954618566,0.823,0.865,hv_stream,Happy Valley,2012 v. 2018
12,0.735,0.8629476987125613,0.7795000000000001,0.8540000000000001,hv_stream,Happy Valley,2013 v. 2016
13,0.627,0.8360961576729141,0.7869999999999999,0.857,hv_stream,Happy Valley,2016 v. 2018
14,0.79,0.8548878421913639,0.8285,0.855,hv_stream,Happy Valley,2013 v. 2018
