Drift Threshold (pct. of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (pct. of mean depth),Drift Area pct.,Not Drift Area pct.,Drift Volume pct.,Not Drift Volume pct.,Drift Volume-Area Difference (pct.),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean_Depth [m],SD Depth [m],CV
80.0,59511456.0,38285900.0,0.6433366537094116,0.2516496479511261,34757752.0,8746776.0,80.0,63.1292627386877,36.8707372613123,81.40251849665829,18.597175334160273,18.27325575797059,1.2647259968466713,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
90.0,51448043.0,34857736.0,0.6775327920913696,0.28432002663612366,42821165.0,12174915.0,90.0,54.57566059110203,45.42433940889797,74.11364234591929,25.885998330527492,19.53798175481726,0.8399440263286166,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
100.0,43297682.0,30986618.0,0.7156645655632019,0.31480345129966736,50971526.0,16046013.0,100.0,45.92982472070838,54.07017527929162,65.8829685313362,34.116629621613164,19.95314381062782,-0.007274826764120945,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
110.00000000000001,35455775.0,26872026.0,0.7579026818275452,0.34279125928878784,58813433.0,20160730.0,110.00000000000001,37.61119431490291,62.38880568509709,57.13462641619193,42.865237508616325,19.523432101289018,-0.7862607089033009,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
120.0,28342209.0,22785428.0,0.8039397597312927,0.36778950691223145,65926999.0,24247258.0,120.0,30.06518204756743,69.93481795243257,48.44580444038865,51.55391065217862,18.38062239282122,-1.3902545128357637,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
129.99999999999997,22197380.0,18949392.0,0.853676974773407,0.3896569609642029,72071828.0,28083290.0,129.99999999999997,23.54679801701527,76.45320198298474,40.28972109263276,59.70998549523503,16.74292307561749,-1.7611672770862388,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
140.0,17136700.0,15538119.0,0.9067159295082092,0.40831834077835083,77132508.0,31494618.0,140.0,18.178470322992425,81.82152967700758,33.03675816164117,66.96306536584453,14.858287838648742,-1.8876414743088343,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
150.0,13184333.0,12676978.0,0.9615183472633362,0.4237004220485687,81084875.0,34355696.0,150.0,13.9858319378264,86.0141680621736,26.953472064826222,73.0462175136426,12.967640126999822,-1.8321047470332648,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
160.0,10151017.0,10329439.0,1.017576813697815,0.4363291263580322,84118191.0,36703216.0,160.0,10.768115289565177,89.23188471043481,21.96219363414739,78.03745554699888,11.194078344582213,-1.6957650994492877,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
169.99999999999997,7809501.0,8400233.0,1.075642704963684,0.44682395458221436,86459707.0,38632268.0,169.99999999999997,8.284254387710565,91.71574561228944,17.86036431581181,82.13895743440432,9.576109928101246,-1.5266838569183196,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
179.99999999999997,6008780.0,6826708.0,1.1361221075057983,0.455537885427475,88260428.0,40205968.0,179.99999999999997,6.374064371051044,93.62593562894895,14.514775001796618,85.48491882902195,8.140710630745573,-1.3382392822659188,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
189.99999999999997,4635199.0,5557686.0,1.199017882347107,0.4627149999141693,89634009.0,41475000.0,189.99999999999997,4.916980950980303,95.0830190490197,11.816612314549712,88.18310277801757,6.899631363569409,-1.1484698333146328,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
199.99999999999997,3589627.0,4539428.0,1.2645961046218872,0.4686092734336853,90679581.0,42493292.0,199.99999999999997,3.807846778557851,96.19215322144214,9.651617742674159,90.34816963983874,5.843770964116308,-1.0558603994531008,2017,CLPX,140.0,0.4989203,0.27049536,0.54216146
