Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean Depth [m],SD Depth [m],CV
80.0,62901.0,333552.0,1.7676035165786743,0.5123078227043152,47988.0,62206.0,80.0,18.908097286475662,14.425236046857668,84.28156899730361,15.718146738878099,65.37347171082794,-2.9091270868162553,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
90.0,56643.0,314594.0,1.851330280303955,0.5789227485656738,54246.0,81164.0,90.0,17.026936846756666,16.306396486576666,79.49128147076836,20.508434265413335,62.46434462401169,-3.1292409569847273,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
100.0,50613.0,294165.0,1.9373507499694824,0.6418237686157227,60276.0,101593.0,100.0,15.21431341251161,18.11901992082172,74.3293032093701,25.670412526811603,59.11498979685849,-3.6113240865272225,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
110.00000000000001,44628.0,271716.0,2.029489755630493,0.7038131356239319,66261.0,124042.0,110.00000000000001,13.415217018820622,19.91811631451271,68.65691346977786,31.34280226640384,55.24169645095724,-4.114353423382585,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
120.0,38717.0,247447.0,2.13039231300354,0.7645848393440247,72172.0,148311.0,120.0,11.638365091818544,21.69496824151479,62.52464804191186,37.47506769426984,50.88628295009332,-4.468960029972234,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
129.99999999999997,33179.0,222723.0,2.2375941276550293,0.821666955947876,77710.0,173035.0,129.99999999999997,9.97363730096463,23.359696032368703,56.27741369197741,43.722302044204284,46.303776391012775,-4.5559055899621335,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
140.0,28255.0,198940.0,2.3469667434692383,0.8733396530151367,82634.0,196818.0,140.0,8.493478463448433,24.8398548698849,50.26795023361748,49.731765502564215,41.77447177016905,-4.260926941366261,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
150.0,24284.0,178415.0,2.449018955230713,0.915992796421051,86605.0,217343.0,150.0,7.299792284777269,26.033541048556064,45.08171479305752,54.91800094312418,37.78192250828025,-4.007788428256109,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
160.0,20601.0,158112.0,2.5583293437957764,0.9569984674453735,90288.0,237646.0,160.0,6.192679165652139,27.140654167681195,39.95157407930897,60.04814165687272,33.75889491365683,-3.9503584522526065,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
169.99999999999997,17323.0,138866.0,2.672102212905884,0.9950944185256958,93566.0,256892.0,169.99999999999997,5.207309411513616,28.126023921819716,35.08851501528866,64.91120072089305,29.88120560377504,-3.7881538464383144,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
179.99999999999997,14421.0,120776.0,2.791682481765747,1.0304179191589355,96468.0,274982.0,179.99999999999997,4.334965596226858,28.998367737106477,30.51755281700706,69.48216291917464,26.182587220780203,-3.4526202003217836,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
189.99999999999997,12072.0,105291.0,2.9073262214660645,1.0604403018951416,98817.0,290467.0,189.99999999999997,3.6288540793045296,29.704479254028804,26.604819282436004,73.3948964537457,22.975965203131473,-3.055561407384811,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
199.99999999999997,10078.0,91424.0,3.0238993167877197,1.0873205661773682,100811.0,304334.0,199.99999999999997,3.029455882308735,30.303877451024597,23.100920288319315,76.89879544786238,20.07146440601058,-2.9045007971208925,2014,Tuolumne,129.99999999999997,1.1896553039550781,0.865086555480957,0.7271741032600403
