Drift Threshold (pct. of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (pct. of mean depth),Drift Area pct.,Not Drift Area pct.,Drift Volume pct.,Not Drift Volume pct.,Drift Volume-Area Difference (pct.),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean_Depth [m],SD Depth [m],CV
80.0,64339206.0,40420592.0,0.628242015838623,0.24820320308208466,31763683.0,7883848.0,80.0,66.9482537616533,33.051746238346695,83.6787505127888,16.321150117562574,16.73049675113549,1.2076176263134002,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
90.0,56763760.0,37196256.0,0.6552817225456238,0.2823702394962311,39339129.0,11108199.0,90.0,59.06561248122312,40.93438751877688,77.00372685867201,22.996204824694548,17.93811437744889,0.8496696022808088,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
100.0,47998408.0,33028024.0,0.6881066560745239,0.31756725907325745,48104481.0,15276408.0,100.0,49.94481279329698,50.05518720670301,68.37464874899409,31.625235319749173,18.429835955697108,0.023866314594709337,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
110.00000000000001,38470130.0,28024330.0,0.7284698486328125,0.35188427567481995,57632759.0,20280062.0,110.00000000000001,40.0301493537827,59.9698506462173,58.015996360421006,41.983804900281726,17.98584700663831,-0.9069545012745461,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
120.0,29269905.0,22738260.0,0.776847779750824,0.3825377821922302,66832984.0,25566142.0,120.0,30.45684193739483,69.54315806260517,47.07276889054285,52.927053072170025,16.615926953148016,-1.6573292659265295,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
129.99999999999997,21529622.0,17908342.0,0.831800103187561,0.40760114789009094,74573267.0,30396150.0,129.99999999999997,22.402679278455405,77.59732072154459,37.073867753240656,62.926140527563405,14.67118847478525,-2.010401031756274,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
140.0,15668310.0,13959421.0,0.8909333944320679,0.4269923269748688,80434579.0,34344948.0,140.0,16.30368260833449,83.6963173916655,28.89880749796996,71.10094614810947,12.595124889635468,-2.0081883027449168,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
150.0,11426940.0,10890310.0,0.9530381560325623,0.44185081124305725,84675949.0,37414136.0,150.0,11.890318926832679,88.10968107316732,22.545130796128095,77.45478225542935,10.654811869295417,-1.8251216346782444,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
160.0,8378971.0,8532327.0,1.0183024406433105,0.45337629318237305,87723918.0,39771944.0,160.0,8.71875038012645,91.28124961987355,17.66363200040543,82.3359187659747,8.944881620278979,-1.5752346928915464,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
169.99999999999997,6210592.0,6746583.0,1.0863027572631836,0.46230798959732056,89892297.0,41557928.0,169.99999999999997,6.462440478766461,93.53755952123353,13.966782962278785,86.03326465234453,7.504342483512324,-1.3024263459910812,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
179.99999999999997,4694175.0,5421966.0,1.1550414562225342,0.46912992000579834,91408714.0,42882564.0,179.99999999999997,4.884530578471996,95.115469421528,11.224559506768813,88.77552744167374,6.3400289282968165,-1.1232946936002723,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
189.99999999999997,3464725.0,4281216.0,1.2356584072113037,0.4752174913883209,92638164.0,44023276.0,189.99999999999997,3.6052246046422183,96.39477539535778,8.862977700953998,91.13703057985005,5.257753096311779,-0.8947458858134687,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
199.99999999999997,2754726.0,3582730.0,1.300575852394104,0.47908440232276917,93348163.0,44721648.0,199.99999999999997,2.866434119373872,97.13356588062612,7.416971276043751,92.5828010018448,4.550537156669879,-0.7072159396419,Mean_Depth,CLPX,129.99999999999997,0.50263304,0.26063594,0.5185412
