Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean Depth [m],SD Depth [m],CV
80.0,67241.0,463330.0,2.2968664169311523,0.8378632068634033,43648.0,92082.0,80.0,20.212705197690184,13.12062813564315,83.42069313192192,16.5789917876538,63.20798793423174,-4.318476837651147,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
90.0,57997.0,423911.0,2.4363958835601807,0.9554519653320312,52892.0,131502.0,90.0,17.4339504669835,15.899382866349834,76.3234615635641,23.67640340196835,58.88951109658059,-4.945546966086429,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
100.0,47952.0,376189.0,2.6150436401367188,1.0682780742645264,62937.0,179223.0,100.0,14.414414414414415,18.91891891891892,67.7313084164733,32.26837650310242,53.31689400205888,-5.4180624635956285,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
110.00000000000001,39795.0,333336.0,2.7921156883239746,1.1552066802978516,71094.0,222076.0,110.00000000000001,11.962412863313764,21.37092047001957,60.0157990327031,39.98388588687262,48.053386169389334,-4.8914593989060045,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
120.0,33647.0,297970.0,2.9519224166870117,1.2219423055648804,77242.0,257443.0,120.0,10.114318522726931,23.219014810606403,53.648293726973804,46.35157123855864,43.53397520424687,-4.430610245232199,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
129.99999999999997,28384.0,265068.0,3.11289119720459,1.282028079032898,82505.0,290344.0,129.99999999999997,8.532255979703427,24.801077353629903,47.724421658628366,52.275263260947355,39.19216567892494,-4.057306994991361,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
140.0,24266.0,237238.0,3.2588536739349365,1.332242727279663,86623.0,318175.0,140.0,7.294381468555643,26.038951864777694,42.71374268281979,57.28612228271266,35.41936121426415,-3.6525720755355486,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
150.0,20752.0,211752.0,3.4013144969940186,1.3781238794326782,90137.0,343661.0,150.0,6.2380699017335655,27.09526343159977,38.12509142958741,61.874773535945046,31.88702152785384,-3.546092387599723,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
160.0,17502.0,186554.0,3.5530128479003906,1.4235124588012695,93387.0,368859.0,160.0,5.261116972828685,28.072216360504648,33.58829341189339,66.41157155363906,28.327176439064704,-3.4888839479299065,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
169.99999999999997,14622.0,162762.0,3.7104437351226807,1.466435432434082,96267.0,392651.0,169.99999999999997,4.395386377368359,28.93794695596497,29.304640009362387,70.69522495617007,24.909253631994027,-3.3519872238003696,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
179.99999999999997,12052.0,140220.0,3.878206253051758,1.5072230100631714,98837.0,415193.0,179.99999999999997,3.6228420612804997,29.710491272052835,25.246044052744466,74.753820912788,21.623201991463965,-2.91789217666007,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
189.99999999999997,10186.0,122943.0,4.023298740386963,1.5386711359024048,100703.0,432469.0,189.99999999999997,3.0619207796384975,30.271412553694837,22.135390058312385,77.86429486126335,19.073469278673887,-2.575289941099051,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
199.99999999999997,8399.0,105514.0,4.187569618225098,1.570724368095398,102490.0,449899.0,199.99999999999997,2.5247469691914137,30.80858636414192,18.997369078457275,81.00249588707517,16.472622109265863,-2.6008471694080235,2014,Tuolumne,100.0,1.6695783138275146,1.0898903608322144,0.6527937650680542
