Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean Depth [m],SD Depth [m],CV
80.0,66904.0,475517.0,2.3691532611846924,0.630666196346283,43985.0,64441.0,80.0,20.111402693985276,13.221930639348056,88.0653799564666,11.934423269356646,67.95397726248132,-2.4587267707537563,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
90.0,61650.0,453713.0,2.453169107437134,0.7312512397766113,49239.0,86245.0,90.0,18.532045559072586,14.801287774260746,84.02729605080015,15.972507175023107,65.49525049172756,-3.092508865882163,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
100.0,54957.0,422729.0,2.56400203704834,0.8493586778640747,55932.0,117229.0,100.0,16.520123727330933,16.8132096060024,78.28908325804792,21.710719967775336,61.76895953071699,-4.5299295386393155,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
110.00000000000001,46726.0,380570.0,2.714905261993408,0.979564905166626,64163.0,159388.0,110.00000000000001,14.045877709541374,19.28745562379196,70.4812691239903,29.518534101832948,56.43539141444893,-5.5983180205731,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
120.0,38784.0,336021.0,2.8879740238189697,1.0932635068893433,72105.0,203937.0,120.0,11.658505352199047,21.674827981134285,62.230828841769835,37.76897438405342,50.57232348957079,-5.978487850783051,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
129.99999999999997,31406.0,291141.0,3.0900866985321045,1.1923723220825195,79483.0,248817.0,129.99999999999997,9.440671903134366,23.892661430198967,53.919087616017194,46.08071560980606,44.47841571288283,-5.901080207492885,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
140.0,25162.0,250184.0,3.314312696456909,1.274261474609375,85727.0,289774.0,140.0,7.563719876032188,25.769613457301144,46.33388295061721,53.66592027520605,38.77016307458502,-5.18951191838099,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
150.0,20502.0,217400.0,3.534618854522705,1.3362771272659302,90387.0,322558.0,150.0,6.16291967643319,27.170413656900145,40.26231155255404,59.73749167326922,34.09939187612085,-4.295185926957567,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
160.0,16914.0,190412.0,3.7525522708892822,1.3862656354904175,93975.0,349546.0,160.0,5.084363642922201,28.24896969041113,35.26415486359209,64.73564836223117,30.179791220669888,-3.493954317827928,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
169.99999999999997,14328.0,169647.0,3.9467647075653076,1.4247779846191406,96561.0,370311.0,169.99999999999997,4.307009712415118,29.026323620918216,31.418492952880108,68.58131027294314,27.11148324046499,-2.8702558409597234,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
179.99999999999997,12235.0,151821.0,4.136274814605713,1.4581362009048462,98654.0,388137.0,179.99999999999997,3.677852026200375,29.65548130713296,28.117131564950814,71.88267166087245,24.43927953875044,-2.4551755986832546,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
189.99999999999997,10595.0,137074.0,4.312564373016357,1.4860705137252808,100294.0,402884.0,189.99999999999997,3.1848665482299117,30.148466785103423,25.385998591328395,74.61380463449487,22.201132043098482,-2.1147226067125686,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
199.99999999999997,9228.0,124103.0,4.482876300811768,1.511056900024414,101661.0,415855.0,199.99999999999997,2.7739451162874587,30.559388217045875,22.98377944161276,77.0160237842105,20.209834325325303,-1.991297717773179,2014,Tuolumne,120.0,1.6231212615966797,1.239749789237976,0.7638060450553894
