Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold
80.0,18748462.0,12002498.0,0.6401857137680054,0.2998591959476471,9065366.0,2718333.0,80.0,67.40698187966072,32.59301812033928,81.53413402209904,18.46589994338633,14.12715214243832,1.7143209285821257,2017,Happy Valley,150.0
90.0,15541010.0,10557275.0,0.6793171763420105,0.339251846075058,12272818.0,4163576.0,90.0,55.875120821197285,44.124879178802715,71.71659389221773,28.283575935209072,15.841473071020445,1.0903439546839842,2017,Happy Valley,150.0
100.0,12713891.0,9129639.0,0.7180837988853455,0.3702795207500458,15099937.0,5591197.0,100.0,45.71068390873777,54.28931609126223,62.01852396054406,37.981543970426664,16.307840051806288,0.004647536470397284,2017,Happy Valley,150.0
110.00000000000001,10049071.0,7651964.0,0.7614598870277405,0.3979158401489258,17764757.0,7068878.0,110.00000000000001,36.12976610051662,63.870233899483374,51.98053424447786,48.0195744450753,15.85076814396124,-0.9464994757484035,2017,Happy Valley,150.0
120.0,7389567.0,6033007.0,0.8164223432540894,0.4253671169281006,20424261.0,8687809.0,120.0,26.56796108755688,73.43203891244312,40.98280218786636,59.01712988116292,14.41484110030948,-1.5008682489399021,2017,Happy Valley,150.0
129.99999999999997,5678134.0,4896709.0,0.8623800277709961,0.44381311535835266,22135694.0,9824111.0,129.99999999999997,20.414787924912744,79.58521207508726,33.26381957099418,66.73613967042338,12.849031646081436,-1.6204015457952927,2017,Happy Valley,150.0
140.0,4343623.0,3943829.0,0.907958447933197,0.4591781497001648,23470205.0,10777005.0,140.0,15.616775224179857,84.38322477582014,26.790813232898753,73.20924111187782,11.174038008718895,-1.7021591268138918,2017,Happy Valley,150.0
150.0,3260163.0,3115823.0,0.9557262659072876,0.47263824939727783,24553665.0,11605001.0,150.0,11.72137470613538,88.27862529386462,21.166088098589032,78.83389831521683,9.444713392453652,-1.865223657936582,2017,Happy Valley,150.0
160.0,2242005.0,2282368.0,1.0180031061172485,0.48641255497932434,25571823.0,12438456.0,160.0,8.06075668548752,91.93924331451248,15.504347378333252,84.4956390354726,7.443590692845731,-1.7594182870713873,2017,Happy Valley,150.0
169.99999999999997,1593641.0,1715793.0,1.0766496658325195,0.4959929883480072,26220187.0,13005029.0,169.99999999999997,5.729671586377826,94.27032841362217,11.655548404688703,88.34442442292301,5.925876818310877,-1.385972666315439,2017,Happy Valley,150.0
179.99999999999997,1125171.0,1283216.0,1.1404635906219482,0.5034945011138916,26688657.0,13437592.0,179.99999999999997,4.045365492301167,95.95463450769883,8.71701085251602,91.28286687173667,4.671645360214853,-1.1507115425517795,2017,Happy Valley,150.0
189.99999999999997,780955.0,946880.0,1.2124648094177246,0.5095263123512268,27032873.0,13773960.0,189.99999999999997,2.807794022455305,97.1922059775447,6.432247755662623,93.56784734769639,3.6244537332073183,-0.8265021520835976,2017,Happy Valley,150.0
199.99999999999997,604097.0,764095.0,1.2648553848266602,0.5129305124282837,27209731.0,13956701.0,199.99999999999997,2.171930451284879,97.82806954871512,5.190571507332537,94.8092246997553,3.018641056047658,-0.6058126771596601,2017,Happy Valley,150.0
