Drift Threshold (% of mean depth),drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume,Drift Threshold (% of mean depth),Drift Area %,Not Drift Area %,Drift Volume %,Not Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Year,Study Area,Inflection Threshold,Mean Depth [m],SD Depth [m],CV
80.0,61618.0,386874.0,2.092865467071533,0.6463700532913208,49271.0,85648.0,80.0,18.522426330234136,14.810907003099194,81.87406651418739,18.125668948564964,63.35164018395325,-3.230121445631042,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
90.0,54713.0,361803.0,2.2042527198791504,0.7226071357727051,56176.0,110719.0,90.0,16.446777107437768,16.886556225895568,76.56829584575998,23.431439616992392,60.12151873832221,-3.5418029005729466,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
100.0,47795.0,333768.0,2.3277812004089355,0.7975478172302246,63094.0,138754.0,100.0,14.367220072925779,18.966113260407553,70.63525445573313,29.364481007019233,56.26803438280736,-4.051586293139135,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
110.00000000000001,41208.0,304331.0,2.4617528915405273,0.8681427836418152,69681.0,168191.0,110.00000000000001,12.387161936711486,20.946171396621846,64.40550808875543,35.59422737399694,52.01834615204394,-4.372385620757676,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
120.0,35079.0,274385.0,2.607313632965088,0.934063196182251,75810.0,198137.0,120.0,10.544779013247481,22.78855432008585,58.06804215453949,41.93169330821288,47.523263141292006,-4.6229212679773894,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
129.99999999999997,29319.0,243755.0,2.771306276321411,0.9972245097160339,81570.0,228767.0,129.99999999999997,8.813317822326832,24.520015511006502,51.58582143841599,48.41391402433637,42.77250361608916,-4.408681257377292,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
140.0,24882.0,218237.0,2.9236295223236084,1.0476726293563843,86007.0,254285.0,140.0,7.479551623695768,25.853781709637563,46.18545225023319,53.81428321251918,38.70590062653742,-3.879297309416099,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
150.0,21213.0,195580.0,3.0732767581939697,1.09152090549469,89676.0,276942.0,150.0,6.376646917187458,26.956686416145875,41.39055591444442,58.60917954830794,35.01390899725696,-3.5803172284008387,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
160.0,18045.0,174690.0,3.226940631866455,1.1314715147018433,92844.0,297832.0,160.0,5.4243432621811,27.908990071152235,36.969609431916844,63.03012603083552,31.545266169735743,-3.273832474560159,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
169.99999999999997,15443.0,156445.0,3.3768441677093506,1.1661990880966187,95446.0,316077.0,169.99999999999997,4.642179717254792,28.69115361607854,33.108423765391436,66.89131169736092,28.466244048136645,-2.9777892598790174,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
179.99999999999997,13189.0,139651.0,3.529496431350708,1.1982674598693848,97700.0,332871.0,179.99999999999997,3.9646252859466076,29.368708047386725,29.554312935924315,70.44542252682805,25.58968764997771,-2.617017556157805,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
189.99999999999997,11466.0,126064.0,3.664891481399536,1.2243938446044922,99423.0,346458.0,189.99999999999997,3.4466899331764194,29.886643400156913,26.678898868997454,73.32083659375492,23.232208935821035,-2.311833207490599,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
199.99999999999997,9911.0,113147.0,3.8054635524749756,1.2494447231292725,100978.0,359375.0,199.99999999999997,2.9792555318080844,30.354077801525246,23.945276766804596,76.05445869594777,20.96602123499651,-2.266187700824524,2014,Tuolumne,120.0,1.4204086065292358,1.0435575246810913,0.7346882820129395
