Study Area,CV,Drift Area %,Drift Threshold (% of mean depth),Drift Threshold (% of mean depth).1,Drift Volume %,Drift Volume-Area Difference (%),Drift Volume-Area Difference Slope,Inflection Threshold,Mean Depth [m],Not Drift Area %,Not Drift Volume %,SD Depth [m],Year,drift_area,drift_volume,mean_drift_depth,mean_not_drift_depth,not_drift_area,not_drift_volume
CLPX,0.5718933393557867,24.7479657572906,140.0,140.0,37.12686999858018,12.378904241289616,-0.9561307703929766,141.66666666666666,0.5180719494819641,75.25203424270947,62.87315308879919,0.30025392522414523,2015.1666666666667,21975746.974358976,17183521.85897436,0.9518853578812037,0.4110490591862263,66759968.525641024,29103421.192307692
Happy Valley,0.3892722924550374,22.696180058909345,140.0,140.0,31.03003819386664,8.33385813495729,-0.6610529033000421,135.0,0.5534677704175314,77.30381994109071,68.96994978314517,0.20956184218327203,2015.1666666666667,5681560.692307692,4258094.576923077,0.9497542587610391,0.47503044513555676,19335805.807692308,9736634.871794872
Tuolumne,0.6688076172556195,9.20671479980789,140.0,140.0,47.54207528287399,38.33536048306606,-3.9594333509256803,122.5,1.5025496993746077,24.12661853352544,52.45770758439664,1.002405115536281,2014.0,30627.701923076922,239624.40384615384,2.9368969339590807,1.1314972014381335,80261.29807692308,265588.0096153846
