,id_count,UTM_E,UTM_N,Depth_m,geometry
8380,310310,405861.7,7613386.08,0.6041,POINT (405861.7 7613386.08)
8381,310311,405863.77,7613387.12,0.6122,POINT (405863.77 7613387.12)
8382,310312,405864.95,7613385.96,0.684,POINT (405864.95 7613385.96)
8383,310313,405866.21,7613387.03,0.7097,POINT (405866.21 7613387.03)
8384,310314,405867.39,7613385.87,0.7856000000000001,POINT (405867.39 7613385.87)
8385,310315,405869.47,7613386.9,0.7001999999999999,POINT (405869.47 7613386.9)
8386,310316,405871.46,7613385.71,0.7151000000000001,POINT (405871.46 7613385.71)
8387,310317,405873.13,7613386.77,0.7504000000000001,POINT (405873.13 7613386.77)
8388,310318,405872.72,7613386.78,0.726,POINT (405872.72 7613386.78)
8389,310319,405873.17,7613387.88,0.6975,POINT (405873.17 7613387.88)
8390,310320,405874.75,7613386.7,0.6149,POINT (405874.75 7613386.7)
8391,310321,405876.38,7613386.64,0.5702,POINT (405876.38 7613386.64)
8392,310322,405878.41,7613386.57,0.5499,POINT (405878.41 7613386.57)
8393,310323,405879.63,7613386.52,0.6446999999999999,POINT (405879.63 7613386.52)
8394,310324,405881.26,7613386.46,0.3995,POINT (405881.26 7613386.46)
8395,310325,405882.89,7613386.4,0.7016,POINT (405882.89 7613386.4)
8396,310326,405884.11,7613386.35,0.6745,POINT (405884.11 7613386.35)
8397,310327,405885.78,7613387.41,0.6799,POINT (405885.78 7613387.41)
8398,310328,405887.44,7613388.46,0.5702,POINT (405887.44 7613388.46)
8399,310329,405889.07,7613388.4,0.7179000000000001,POINT (405889.07 7613388.4)
8400,310330,405891.43,7613386.08,0.7009000000000001,POINT (405891.43 7613386.08)
8401,310331,405892.24,7613386.05,0.8220000000000001,POINT (405892.24 7613386.05)
8402,310332,405892.28,7613387.16,0.861,POINT (405892.28 7613387.16)
8403,310333,405894.32,7613387.08,0.821,POINT (405894.32 7613387.08)
8404,310334,405895.94,7613387.02,0.7036,POINT (405895.94 7613387.02)
8405,310335,405896.8,7613388.11,0.6520999999999999,POINT (405896.8 7613388.11)
8406,310336,405898.42,7613388.05,0.726,POINT (405898.42 7613388.05)
8407,310337,405900.05,7613387.98,0.7179000000000001,POINT (405900.05 7613387.98)
8408,310338,405902.04,7613386.79,0.7734000000000001,POINT (405902.04 7613386.79)
8409,310339,405903.26,7613386.75,0.4754,POINT (405903.26 7613386.75)
8410,310340,405903.67,7613386.73,0.3839,POINT (405903.67 7613386.73)
8411,310341,405904.48,7613386.7,0.3629,POINT (405904.48 7613386.7)
8412,310342,405908.14,7613386.56,0.6175999999999999,POINT (405908.14 7613386.56)
8413,310343,405909.4,7613387.63,0.665,POINT (405909.4 7613387.63)
8414,310344,405910.26,7613388.72,0.7436,POINT (405910.26 7613388.72)
8415,310345,405912.25,7613387.53,0.845,POINT (405912.25 7613387.53)
8416,310346,405913.83,7613386.35,0.7001999999999999,POINT (405913.83 7613386.35)
8417,310347,405915.05,7613386.3,0.6581999999999999,POINT (405915.05 7613386.3)
8418,310348,405915.87,7613386.27,0.6068,POINT (405915.87 7613386.27)
8419,310349,405917.9,7613386.2,0.6637000000000001,POINT (405917.9 7613386.2)
8420,310350,405918.71,7613386.17,0.6149,POINT (405918.71 7613386.17)
8421,310351,405920.38,7613387.22,0.4428,POINT (405920.38 7613387.22)
8422,310352,405922.37,7613386.03,0.4598,POINT (405922.37 7613386.03)
8423,310353,405924.0,7613385.97,0.42119999999999996,POINT (405924 7613385.97)
8424,310354,405925.67,7613387.02,0.3846,POINT (405925.67 7613387.02)
8425,310355,405926.85,7613385.86,0.47600000000000003,POINT (405926.85 7613385.86)
8426,310356,405929.29,7613385.77,0.5553,POINT (405929.29 7613385.77)
8427,310357,405930.55,7613386.84,0.7787999999999999,POINT (405930.55 7613386.84)
8428,310358,405932.18,7613386.78,0.7382,POINT (405932.18 7613386.78)
8429,310359,405934.17,7613385.59,0.6786,POINT (405934.17 7613385.59)
8430,310360,405935.43,7613386.65,0.6501,POINT (405935.43 7613386.65)
8431,310361,405937.42,7613385.46,0.6745,POINT (405937.42 7613385.46)
8432,310362,405938.6,7613384.3,0.6914,POINT (405938.6 7613384.3)
8433,310363,405939.05,7613385.4,0.6975,POINT (405939.05 7613385.4)
8434,310364,405940.31,7613386.47,0.6603,POINT (405940.31 7613386.47)
8435,310365,405941.08,7613385.33,0.642,POINT (405941.08 7613385.33)
8436,310366,405943.97,7613386.33,0.7043,POINT (405943.97 7613386.33)
8437,310367,405946.41,7613386.24,0.6962,POINT (405946.41 7613386.24)
8438,310368,405947.63,7613386.2,0.77,POINT (405947.63 7613386.2)
8439,310369,405948.04,7613386.18,0.7245999999999999,POINT (405948.04 7613386.18)
8440,310370,405951.25,7613384.94,0.6786,POINT (405951.25 7613384.94)
8441,310371,405952.47,7613384.9,0.7504000000000001,POINT (405952.47 7613384.9)
8442,310372,405954.09,7613384.84,0.7138,POINT (405954.09 7613384.84)
8443,310373,405956.09,7613383.65,0.7354999999999999,POINT (405956.09 7613383.65)
8444,310374,405958.12,7613383.57,0.7070000000000001,POINT (405958.12 7613383.57)
8445,310375,405959.79,7613384.62,0.6596,POINT (405959.79 7613384.62)
8446,310376,405961.01,7613384.58,0.6806,POINT (405961.01 7613384.58)
8447,310377,405963.45,7613384.48,0.6393,POINT (405963.45 7613384.48)
8448,310378,405964.26,7613384.45,0.5864,POINT (405964.26 7613384.45)
8449,310379,405967.06,7613383.23,0.5675,POINT (405967.06 7613383.23)
8450,310380,405967.92,7613384.32,0.5186999999999999,POINT (405967.92 7613384.32)
8451,310381,405969.5,7613383.14,0.6217,POINT (405969.5 7613383.14)
8452,310382,405971.13,7613383.08,0.5621,POINT (405971.13 7613383.08)
8453,310383,405971.94,7613383.05,0.5607,POINT (405971.94 7613383.05)
8454,310384,405972.76,7613383.02,0.5932,POINT (405972.76 7613383.02)
8455,310385,405974.38,7613382.96,0.6393,POINT (405974.38 7613382.96)
8456,310386,405976.05,7613384.01,0.5837,POINT (405976.05 7613384.01)
8457,310387,405977.64,7613382.84,0.5594,POINT (405977.64 7613382.84)
8458,310388,405978.45,7613382.8,0.6257,POINT (405978.45 7613382.8)
8459,310389,405978.86,7613382.79,0.5675,POINT (405978.86 7613382.79)
8460,310390,405981.3,7613382.7,0.5715,POINT (405981.3 7613382.7)
8461,310391,405982.97,7613383.75,0.5715,POINT (405982.97 7613383.75)
8462,310392,405986.18,7613382.51,0.4916,POINT (405986.18 7613382.51)
8463,310393,405987.8,7613382.45,0.6053999999999999,POINT (405987.8 7613382.45)
8464,310394,405989.47,7613383.51,0.7206,POINT (405989.47 7613383.51)
8465,310395,405991.87,7613382.3,0.5607,POINT (405991.87 7613382.3)
8466,310396,405992.32,7613383.4,0.5627,POINT (405992.32 7613383.4)
8467,310397,405993.9,7613382.22,0.5648,POINT (405993.9 7613382.22)
8468,310398,405995.94,7613382.15,0.5851,POINT (405995.94 7613382.15)
8469,310399,405997.2,7613383.22,0.6339,POINT (405997.2 7613383.22)
8470,310400,405998.78,7613382.04,0.5444,POINT (405998.78 7613382.04)
8471,310401,406000.86,7613383.08,0.6690999999999999,POINT (406000.86 7613383.08)
8472,310402,406002.44,7613381.9,0.6799,POINT (406002.44 7613381.9)
8473,310403,406004.48,7613381.83,0.6162,POINT (406004.48 7613381.83)
8474,310404,406006.1,7613381.77,0.5038,POINT (406006.1 7613381.77)
8475,310405,406007.73,7613381.7,0.5878,POINT (406007.73 7613381.7)
8476,310406,406009.85,7613383.86,0.5675,POINT (406009.85 7613383.86)
8477,310407,406011.03,7613382.7,0.4334,POINT (406011.03 7613382.7)
8478,310408,406012.65,7613382.64,0.41850000000000004,POINT (406012.65 7613382.64)
8479,310409,406013.87,7613382.59,0.6,POINT (406013.87 7613382.59)
8480,310410,406015.86,7613381.4,0.5864,POINT (406015.86 7613381.4)
8481,310411,406017.9,7613381.32,0.6013000000000001,POINT (406017.9 7613381.32)
8482,310412,406020.34,7613381.23,0.5770000000000001,POINT (406020.34 7613381.23)
8483,310413,406021.92,7613380.06,0.6122,POINT (406021.92 7613380.06)
8484,310414,406023.55,7613379.99,0.623,POINT (406023.55 7613379.99)
8485,310415,406025.17,7613379.93,0.4997,POINT (406025.17 7613379.93)
8486,310416,406026.44,7613381.0,0.5702,POINT (406026.44 7613381)
8487,310417,406028.83,7613379.8,0.6135,POINT (406028.83 7613379.8)
