,Counter_,Latitude,Longitude,Depth_m,geometry
3692,5200739,68.614451,-149.316428,0.3765,POINT (-149.316428 68.614451)
3693,5200740,68.614471,-149.31643300000002,0.4658,POINT (-149.316433 68.61447099999999)
3694,5200741,68.614478,-149.31643300000002,0.43119999999999997,POINT (-149.316433 68.61447800000001)
3695,5200742,68.61449,-149.31643300000002,0.5205,POINT (-149.316433 68.61449)
3696,5200743,68.6145,-149.316435,0.5205,POINT (-149.316435 68.61450000000001)
3697,5200744,68.614508,-149.31644,0.6042000000000001,POINT (-149.31644 68.614508)
3698,5200745,68.61452299999999,-149.31646,0.5272,POINT (-149.31646 68.61452299999999)
3699,5200746,68.61453,-149.316463,0.4736,POINT (-149.316463 68.61453)
3700,5200747,68.614538,-149.316461,0.4692,POINT (-149.316461 68.614538)
3701,5200748,68.614551,-149.316471,0.5434,POINT (-149.316471 68.61455100000001)
3702,5200749,68.614565,-149.316476,0.5161,POINT (-149.316476 68.614565)
3703,5200750,68.614575,-149.316488,0.5049,POINT (-149.316488 68.614575)
3704,5200751,68.614595,-149.316488,0.4714,POINT (-149.316488 68.61459499999999)
3705,5200752,68.61461,-149.316495,0.4279,POINT (-149.316495 68.61461)
3706,5200753,68.614615,-149.31649,0.3944,POINT (-149.31649 68.614615)
3707,5200754,68.61463,-149.3165,0.4636,POINT (-149.3165 68.61463000000001)
3708,5200755,68.617336,-149.317946,0.5155,POINT (-149.317946 68.61733599999999)
3709,5200756,68.61734,-149.31795,0.5506,POINT (-149.31795 68.61734)
3710,5200757,68.61734799999999,-149.317951,0.6355,POINT (-149.317951 68.61734799999999)
3711,5200758,68.617356,-149.317983,0.5685,POINT (-149.317983 68.617356)
3712,5200759,68.617365,-149.31798999999998,0.6221,POINT (-149.31799 68.61736500000001)
3713,5200760,68.617378,-149.31798600000002,0.6243,POINT (-149.317986 68.617378)
3714,5200761,68.617393,-149.317993,0.7382,POINT (-149.317993 68.61739300000001)
3715,5200762,68.61740999999999,-149.31799099999998,0.7604999000000001,POINT (-149.317991 68.61740999999999)
3716,5200763,68.617425,-149.31798500000002,1.099,POINT (-149.317985 68.617425)
3717,5200764,68.617425,-149.31798999999998,1.071,POINT (-149.31799 68.617425)
3718,5200765,68.617438,-149.317981,0.835,POINT (-149.317981 68.61743800000001)
3719,5200766,68.617456,-149.31799099999998,0.6517000000000001,POINT (-149.317991 68.617456)
3720,5200767,68.617476,-149.317993,0.6098,POINT (-149.317993 68.617476)
3721,5200768,68.617486,-149.317996,0.5345,POINT (-149.317996 68.617486)
3722,5200769,68.6175,-149.318005,0.48979999999999996,POINT (-149.318005 68.61750000000001)
3723,5200770,68.61751600000001,-149.318001,0.5897,POINT (-149.318001 68.61751600000001)
3724,5200771,68.61753,-149.318006,0.54,POINT (-149.318006 68.61753)
3725,5200772,68.617551,-149.318011,0.5774,POINT (-149.318011 68.61755100000001)
3726,5200773,68.617563,-149.31800800000002,0.4636,POINT (-149.318008 68.617563)
3727,5200774,68.617583,-149.318005,0.4714,POINT (-149.318005 68.617583)
3728,5200775,68.61759599999999,-149.31798799999999,0.5172,POINT (-149.317988 68.61759599999999)
3729,5200776,68.617603,-149.317983,0.45909999999999995,POINT (-149.317983 68.617603)
3730,5200777,68.61761800000001,-149.31798500000002,0.4608,POINT (-149.317985 68.61761800000001)
3731,5200778,68.617616,-149.31797,0.4446,POINT (-149.31797 68.617616)
3732,5200779,68.617626,-149.317975,0.39880000000000004,POINT (-149.317975 68.617626)
