,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
178,-149.32,68.6104,102.6,405612.36,7612699.3,1.026,POINT (405612.36 7612699.3)
179,-149.319,68.6104,101.9,405614.13,7612699.3,1.0190000000000001,POINT (405614.13 7612699.3)
180,-149.319,68.6104,104.1,405614.8,7612699.1,1.041,POINT (405614.8 7612699.1)
181,-149.319,68.6104,105.1,405615.87,7612698.8,1.051,POINT (405615.87 7612698.8)
182,-149.319,68.6104,101.2,405617.43,7612698.8,1.012,POINT (405617.43 7612698.8)
183,-149.319,68.6104,104.7,405618.53,7612698.9,1.047,POINT (405618.53 7612698.9)
184,-149.319,68.6104,108.5,405619.06,7612698.7,1.085,POINT (405619.06 7612698.7)
185,-149.319,68.6104,100.1,405619.98,7612697.7,1.001,POINT (405619.98 7612697.7)
186,-149.319,68.6104,101.6,405620.44,7612697.5,1.016,POINT (405620.44 7612697.5)
187,-149.319,68.6104,101.3,405620.73,7612697.9,1.013,POINT (405620.73 7612697.9)
188,-149.319,68.6104,93.5,405620.92,7612697.7,0.935,POINT (405620.92 7612697.7)
189,-149.319,68.6104,98.6,405621.06,7612697.7,0.986,POINT (405621.06 7612697.7)
190,-149.319,68.6104,106.9,405623.02,7612697.4,1.069,POINT (405623.02 7612697.4)
191,-149.319,68.6104,100.6,405623.38,7612698.0,1.006,POINT (405623.38 7612698)
192,-149.319,68.6104,102.0,405626.71,7612698.0,1.02,POINT (405626.71 7612698)
193,-149.319,68.6104,102.8,405626.63,7612697.7,1.028,POINT (405626.63 7612697.7)
194,-149.319,68.6104,96.6,405627.17,7612697.7,0.966,POINT (405627.17 7612697.7)
195,-149.319,68.6104,100.9,405628.19,7612697.8,1.0090000000000001,POINT (405628.19 7612697.8)
196,-149.319,68.6104,96.2,405628.04,7612697.3,0.9620000000000001,POINT (405628.04 7612697.3)
197,-149.319,68.6104,99.4,405630.16,7612697.7,0.9940000000000001,POINT (405630.16 7612697.7)
198,-149.319,68.6104,98.4,405630.82,7612697.3,0.9840000000000001,POINT (405630.82 7612697.3)
199,-149.319,68.6104,97.7,405631.63,7612697.3,0.977,POINT (405631.63 7612697.3)
200,-149.319,68.6104,101.9,405632.6,7612697.6,1.0190000000000001,POINT (405632.6 7612697.6)
201,-149.319,68.6104,87.5,405633.89,7612697.6,0.875,POINT (405633.89 7612697.6)
202,-149.319,68.6104,101.7,405635.51,7612697.3,1.0170000000000001,POINT (405635.51 7612697.3)
203,-149.319,68.6104,112.7,405636.92,7612697.1,1.127,POINT (405636.92 7612697.1)
204,-149.319,68.6104,111.2,405637.1,7612696.5,1.112,POINT (405637.1 7612696.5)
205,-149.319,68.6104,108.6,405638.96,7612697.2,1.0859999999999999,POINT (405638.96 7612697.2)
206,-149.319,68.6104,115.9,405639.58,7612697.4,1.159,POINT (405639.58 7612697.4)
207,-149.319,68.6104,106.4,405640.06,7612697.4,1.064,POINT (405640.06 7612697.4)
208,-149.319,68.6104,95.4,405640.95,7612697.5,0.9540000000000001,POINT (405640.95 7612697.5)
209,-149.319,68.6104,115.2,405641.73,7612696.7,1.1520000000000001,POINT (405641.73 7612696.7)
210,-149.319,68.6104,100.9,405642.47,7612696.5,1.0090000000000001,POINT (405642.47 7612696.5)
211,-149.319,68.6104,94.1,405643.49,7612696.7,0.941,POINT (405643.49 7612696.7)
212,-149.319,68.6104,94.6,405644.05,7612697.0,0.946,POINT (405644.05 7612697)
213,-149.319,68.6104,108.9,405645.56,7612697.5,1.089,POINT (405645.56 7612697.5)
214,-149.319,68.6104,104.5,405645.46,7612696.6,1.045,POINT (405645.46 7612696.6)
215,-149.319,68.6104,105.2,405646.81,7612696.4,1.052,POINT (405646.81 7612696.4)
216,-149.319,68.6104,109.9,405647.77,7612696.7,1.099,POINT (405647.77 7612696.7)
217,-149.319,68.6104,107.7,405647.84,7612696.7,1.077,POINT (405647.84 7612696.7)
218,-149.319,68.6104,105.6,405648.4,7612697.2,1.056,POINT (405648.4 7612697.2)
219,-149.319,68.6104,107.6,405649.99,7612697.9,1.0759999999999998,POINT (405649.99 7612697.9)
220,-149.319,68.6104,102.5,405651.07,7612697.7,1.025,POINT (405651.07 7612697.7)
221,-149.319,68.6104,110.2,405651.18,7612697.1,1.102,POINT (405651.18 7612697.1)
